,State,Date,value
572,Georgia,2016-01-01,174.1
573,Iowa,2016-01-01,80.3
574,Idaho,2016-01-01,39.8
575,Illinois,2016-01-01,218.9
576,Indiana,2016-01-01,129.5
577,Kansas,2016-01-01,61.7
578,Kentucky,2016-01-01,77.0
579,Louisiana,2016-01-01,140.6
580,Massachusetts,2016-01-01,145.5
581,Maine,2016-01-01,27.3
582,Michigan,2016-01-01,152.5
583,Minnesota,2016-01-01,114.0
584,Missouri,2016-01-01,118.5
585,Mississippi,2016-01-01,45.7
586,Montana,2016-01-01,26.8
587,North Carolina,2016-01-01,196.3
588,North Dakota,2016-01-01,30.9
589,New Hampshire,2016-01-01,25.4
590,New Jersey,2016-01-01,152.6
591,New Mexico,2016-01-01,44.1
592,Nevada,2016-01-01,74.0
593,New York,2016-01-01,373.9
594,Ohio,2016-01-01,207.2
595,Oklahoma,2016-01-01,77.9
596,Oregon,2016-01-01,86.6
597,Pennsylvania,2016-01-01,239.7
598,Rhode Island,2016-01-01,17.8
599,South Carolina,2016-01-01,93.9
600,South Dakota,2016-01-01,22.0
601,Maryland,2016-01-01,159.8
602,Nebraska,2016-01-01,50.0
603,Texas,2016-01-01,698.1
604,Utah,2016-01-01,89.5
605,Virginia,2016-01-01,186.9
606,Vermont,2016-01-01,15.2
607,Washington,2016-01-01,178.9
608,Wisconsin,2016-01-01,111.5
609,West Virginia,2016-01-01,31.0
610,Wyoming,2016-01-01,22.1
611,Alaska,2016-02-01,16.8
612,Alabama,2016-02-01,83.9
613,Arkansas,2016-02-01,50.3
614,Arizona,2016-02-01,131.1
615,California,2016-02-01,770.2
616,Colorado,2016-02-01,152.5
617,Connecticut,2016-02-01,59.3
618,Florida,2016-02-01,460.3
619,Georgia,2016-02-01,175.0
620,Iowa,2016-02-01,80.4
621,Idaho,2016-02-01,40.3
622,Illinois,2016-02-01,219.8
623,Indiana,2016-02-01,129.5
624,Kansas,2016-02-01,61.4
625,Kentucky,2016-02-01,76.6
626,Louisiana,2016-02-01,139.6
627,Massachusetts,2016-02-01,144.4
628,Maine,2016-02-01,27.4
629,Michigan,2016-02-01,153.1
630,Minnesota,2016-02-01,114.5
631,Missouri,2016-02-01,119.1
632,Mississippi,2016-02-01,45.7
633,Montana,2016-02-01,27.0
634,North Carolina,2016-02-01,196.6
635,North Dakota,2016-02-01,30.8
636,New Hampshire,2016-02-01,25.3
637,New Jersey,2016-02-01,152.3
638,New Mexico,2016-02-01,44.4
639,Nevada,2016-02-01,74.0
640,New York,2016-02-01,371.3
641,Ohio,2016-02-01,207.8
642,Oklahoma,2016-02-01,78.0
643,Oregon,2016-02-01,88.7
644,Pennsylvania,2016-02-01,238.0
645,Rhode Island,2016-02-01,17.7
646,South Carolina,2016-02-01,94.6
647,South Dakota,2016-02-01,22.2
648,Maryland,2016-02-01,159.1
649,Nebraska,2016-02-01,50.1
650,Texas,2016-02-01,697.1
651,Utah,2016-02-01,90.3
652,Virginia,2016-02-01,185.9
653,Vermont,2016-02-01,15.1
654,Washington,2016-02-01,181.9
655,Wisconsin,2016-02-01,112.0
656,West Virginia,2016-02-01,30.9
657,Wyoming,2016-02-01,21.9
658,Alaska,2016-03-01,16.6
659,Alabama,2016-03-01,84.2
660,Arkansas,2016-03-01,50.1
661,Arizona,2016-03-01,132.3
662,California,2016-03-01,758.5
663,Colorado,2016-03-01,153.0
664,Connecticut,2016-03-01,60.0
665,Florida,2016-03-01,462.6
666,Georgia,2016-03-01,175.9
667,Iowa,2016-03-01,83.5
668,Idaho,2016-03-01,40.8
669,Illinois,2016-03-01,220.3
670,Indiana,2016-03-01,129.2
671,Kansas,2016-03-01,61.9
672,Kentucky,2016-03-01,76.5
673,Louisiana,2016-03-01,139.4
674,Massachusetts,2016-03-01,146.3
675,Maine,2016-03-01,27.5
676,Michigan,2016-03-01,154.0
677,Minnesota,2016-03-01,114.6
678,Missouri,2016-03-01,119.1
679,Mississippi,2016-03-01,45.8
680,Montana,2016-03-01,27.0
681,North Carolina,2016-03-01,197.3
682,North Dakota,2016-03-01,30.9
683,New Hampshire,2016-03-01,25.5
684,New Jersey,2016-03-01,153.8
685,New Mexico,2016-03-01,43.8
686,Nevada,2016-03-01,74.5
687,New York,2016-03-01,376.7
688,Ohio,2016-03-01,208.5
689,Oklahoma,2016-03-01,77.0
690,Oregon,2016-03-01,88.6
691,Pennsylvania,2016-03-01,239.4
692,Rhode Island,2016-03-01,18.0
693,South Carolina,2016-03-01,95.7
694,South Dakota,2016-03-01,22.4
695,Maryland,2016-03-01,160.7
696,Nebraska,2016-03-01,50.7
697,Texas,2016-03-01,694.1
698,Utah,2016-03-01,91.0
699,Virginia,2016-03-01,187.0
700,Vermont,2016-03-01,15.4
701,Washington,2016-03-01,182.2
702,Wisconsin,2016-03-01,112.4
703,West Virginia,2016-03-01,32.0
704,Wyoming,2016-03-01,22.0
705,Alaska,2016-04-01,16.6
706,Alabama,2016-04-01,84.6
707,Arkansas,2016-04-01,50.7
708,Arizona,2016-04-01,132.0
709,California,2016-04-01,773.5
710,Colorado,2016-04-01,153.0
711,Connecticut,2016-04-01,59.7
712,Florida,2016-04-01,467.7
713,Georgia,2016-04-01,177.0
714,Iowa,2016-04-01,82.0
715,Idaho,2016-04-01,41.1
716,Illinois,2016-04-01,219.6
717,Indiana,2016-04-01,130.7
718,Kansas,2016-04-01,61.1
719,Kentucky,2016-04-01,77.6
720,Louisiana,2016-04-01,138.6
721,Massachusetts,2016-04-01,146.7
722,Maine,2016-04-01,27.6
723,Michigan,2016-04-01,156.9
724,Minnesota,2016-04-01,120.3
725,Missouri,2016-04-01,120.0
726,Mississippi,2016-04-01,44.6
727,Montana,2016-04-01,27.0
728,North Carolina,2016-04-01,199.5
729,North Dakota,2016-04-01,31.9
730,New Hampshire,2016-04-01,25.4
731,New Jersey,2016-04-01,153.3
732,New Mexico,2016-04-01,43.5
733,Nevada,2016-04-01,74.6
734,New York,2016-04-01,376.8
735,Ohio,2016-04-01,207.7
736,Oklahoma,2016-04-01,77.8
737,Oregon,2016-04-01,89.3
738,Pennsylvania,2016-04-01,239.3
739,Rhode Island,2016-04-01,18.1
740,South Carolina,2016-04-01,96.0
741,South Dakota,2016-04-01,22.6
742,Maryland,2016-04-01,160.9
743,Nebraska,2016-04-01,50.6
744,Texas,2016-04-01,698.7
745,Utah,2016-04-01,91.8
746,Virginia,2016-04-01,187.7
747,Vermont,2016-04-01,15.4
748,Washington,2016-04-01,183.9
749,Wisconsin,2016-04-01,112.5
750,West Virginia,2016-04-01,31.5
751,Wyoming,2016-04-01,22.2
752,Alaska,2016-05-01,16.6
753,Alabama,2016-05-01,84.2
754,Arkansas,2016-05-01,50.2
755,Arizona,2016-05-01,132.6
756,California,2016-05-01,772.8
757,Colorado,2016-05-01,153.8
758,Connecticut,2016-05-01,59.2
759,Florida,2016-05-01,471.1
