,State,Date,value
735,Minnesota,1991-03-01,337.1
736,Missouri,1991-03-01,375.3
737,Mississippi,1991-03-01,225.0
738,Montana,1991-03-01,18.2
739,North Carolina,1991-03-01,793.0
740,North Dakota,1991-03-01,16.1
741,Nebraska,1991-03-01,97.2
742,New Hampshire,1991-03-01,93.2
743,New Jersey,1991-03-01,502.3
744,New Mexico,1991-03-01,38.2
745,Nevada,1991-03-01,24.2
746,New York,1991-03-01,915.1
747,Ohio,1991-03-01,1020.1
748,Oklahoma,1991-03-01,161.4
749,Oregon,1991-03-01,197.8
750,Pennsylvania,1991-03-01,918.2
751,Rhode Island,1991-03-01,88.3
752,South Carolina,1991-03-01,333.4
753,South Dakota,1991-03-01,33.6
754,District of Columbia,1991-03-01,6.9
755,Alabama,1991-03-01,351.4
