,variable,value
Georgia,1990-12-01,509.0
Hawaii,1990-12-01,20.4
Iowa,1990-12-01,217.6
Idaho,1990-12-01,52.2
Illinois,1990-12-01,899.3
Indiana,1990-12-01,591.4
Kansas,1990-12-01,177.6
Kentucky,1990-12-01,270.1
Louisiana,1990-12-01,179.7
Massachusetts,1990-12-01,465.8
Maryland,1990-12-01,197.0
Maine,1990-12-01,89.4
Michigan,1990-12-01,798.7
Minnesota,1990-12-01,339.9
Missouri,1990-12-01,385.7
Mississippi,1990-12-01,229.4
Montana,1990-12-01,19.8
North Carolina,1990-12-01,805.9
North Dakota,1990-12-01,16.2
Nebraska,1990-12-01,98.1
New Hampshire,1990-12-01,95.0
New Jersey,1990-12-01,508.7
New Mexico,1990-12-01,38.3
Nevada,1990-12-01,24.6
New York,1990-12-01,945.1
Ohio,1990-12-01,1038.9
Oklahoma,1990-12-01,161.5
Oregon,1990-12-01,201.6
Pennsylvania,1990-12-01,934.9
Rhode Island,1990-12-01,92.9
South Carolina,1990-12-01,338.8
South Dakota,1990-12-01,33.8
District of Columbia,1990-12-01,7.0
Alabama,1990-12-01,359.9
Tennessee,1990-12-01,490.8
Texas,1990-12-01,944.1
Utah,1990-12-01,105.0
Virginia,1990-12-01,380.7
Vermont,1990-12-01,41.6
Washington,1990-12-01,332.8
Wisconsin,1990-12-01,519.0
West Virginia,1990-12-01,80.9
Wyoming,1990-12-01,9.3
Alaska,1991-01-01,15.4
Arkansas,1991-01-01,217.8
Arizona,1991-01-01,174.4
California,1991-01-01,1942.6
Colorado,1991-01-01,168.5
Connecticut,1991-01-01,290.0
Delaware,1991-01-01,47.9
Florida,1991-01-01,488.8
Georgia,1991-01-01,502.1
Hawaii,1991-01-01,20.6
Iowa,1991-01-01,217.7
Idaho,1991-01-01,53.8
Illinois,1991-01-01,894.2
Indiana,1991-01-01,589.9
Kansas,1991-01-01,172.4
Kentucky,1991-01-01,268.0
Louisiana,1991-01-01,179.6
Massachusetts,1991-01-01,459.9
Maryland,1991-01-01,195.8
Maine,1991-01-01,90.8
Michigan,1991-01-01,783.2
Minnesota,1991-01-01,341.4
Missouri,1991-01-01,376.0
Mississippi,1991-01-01,229.4
Montana,1991-01-01,19.4
North Carolina,1991-01-01,802.1
North Dakota,1991-01-01,16.2
Nebraska,1991-01-01,97.6
New Hampshire,1991-01-01,94.0
New Jersey,1991-01-01,507.5
New Mexico,1991-01-01,38.5
Nevada,1991-01-01,24.5
New York,1991-01-01,928.5
Ohio,1991-01-01,1034.3
Oklahoma,1991-01-01,161.4
Oregon,1991-01-01,200.3
Pennsylvania,1991-01-01,930.3
Rhode Island,1991-01-01,89.9
South Carolina,1991-01-01,336.6
South Dakota,1991-01-01,33.4
District of Columbia,1991-01-01,7.0
Alabama,1991-01-01,355.3
Tennessee,1991-01-01,485.9
Texas,1991-01-01,947.3
Utah,1991-01-01,104.2
Virginia,1991-01-01,381.8
Vermont,1991-01-01,41.1
Washington,1991-01-01,329.8
Wisconsin,1991-01-01,516.9
West Virginia,1991-01-01,80.6
Wyoming,1991-01-01,9.2
Alaska,1991-02-01,14.3
Arkansas,1991-02-01,217.5
Arizona,1991-02-01,172.9
California,1991-02-01,1928.9
Colorado,1991-02-01,168.5
Connecticut,1991-02-01,288.4
Delaware,1991-02-01,42.2
Florida,1991-02-01,485.6
Georgia,1991-02-01,499.4
Hawaii,1991-02-01,20.4
Iowa,1991-02-01,216.6
Idaho,1991-02-01,54.2
Illinois,1991-02-01,888.2
Indiana,1991-02-01,579.8
Kansas,1991-02-01,172.2
Kentucky,1991-02-01,267.1
Louisiana,1991-02-01,179.7
Massachusetts,1991-02-01,455.9
Maryland,1991-02-01,193.7
Maine,1991-02-01,89.7
Michigan,1991-02-01,785.4
Minnesota,1991-02-01,339.5
Missouri,1991-02-01,374.2
Mississippi,1991-02-01,226.5
Montana,1991-02-01,19.4
North Carolina,1991-02-01,797.5
North Dakota,1991-02-01,16.4
Nebraska,1991-02-01,97.5
New Hampshire,1991-02-01,93.1
New Jersey,1991-02-01,505.3
New Mexico,1991-02-01,38.4
Nevada,1991-02-01,24.4
New York,1991-02-01,922.2
Ohio,1991-02-01,1020.0
Oklahoma,1991-02-01,162.7
Oregon,1991-02-01,199.5
Pennsylvania,1991-02-01,924.6
Rhode Island,1991-02-01,89.0
South Carolina,1991-02-01,334.6
South Dakota,1991-02-01,33.6
District of Columbia,1991-02-01,7.0
Alabama,1991-02-01,352.8
Tennessee,1991-02-01,484.0
Texas,1991-02-01,946.8
Utah,1991-02-01,104.3
Virginia,1991-02-01,378.2
Vermont,1991-02-01,40.3
Washington,1991-02-01,329.9
Wisconsin,1991-02-01,514.4
West Virginia,1991-02-01,80.2
Wyoming,1991-02-01,9.2
Alaska,1991-03-01,14.2
Arkansas,1991-03-01,217.5
Arizona,1991-03-01,172.2
California,1991-03-01,1915.3
Colorado,1991-03-01,167.8
Connecticut,1991-03-01,287.6
Delaware,1991-03-01,47.7
Florida,1991-03-01,483.0
Georgia,1991-03-01,500.3
Hawaii,1991-03-01,20.1
Iowa,1991-03-01,216.5
Idaho,1991-03-01,54.2
Illinois,1991-03-01,885.1
Indiana,1991-03-01,573.3
Kansas,1991-03-01,174.0
Kentucky,1991-03-01,265.7
Louisiana,1991-03-01,179.9
Massachusetts,1991-03-01,453.6
Maryland,1991-03-01,192.8
Maine,1991-03-01,89.2
Michigan,1991-03-01,774.2
Minnesota,1991-03-01,337.1
Missouri,1991-03-01,375.3
Mississippi,1991-03-01,225.0
Montana,1991-03-01,18.2
North Carolina,1991-03-01,793.0
North Dakota,1991-03-01,16.1
Nebraska,1991-03-01,97.2
New Hampshire,1991-03-01,93.2
New Jersey,1991-03-01,502.3
New Mexico,1991-03-01,38.2
Nevada,1991-03-01,24.2
New York,1991-03-01,915.1
Ohio,1991-03-01,1020.1
Oklahoma,1991-03-01,161.4
Oregon,1991-03-01,197.8
Pennsylvania,1991-03-01,918.2
Rhode Island,1991-03-01,88.3
South Carolina,1991-03-01,333.4
South Dakota,1991-03-01,33.6
District of Columbia,1991-03-01,6.9
Alabama,1991-03-01,351.4
Tennessee,1991-03-01,482.5
Texas,1991-03-01,945.7
Utah,1991-03-01,104.3
Virginia,1991-03-01,375.8
Vermont,1991-03-01,40.2
Washington,1991-03-01,329.6
Wisconsin,1991-03-01,512.0
West Virginia,1991-03-01,79.9
Wyoming,1991-03-01,9.2
Alaska,1991-04-01,14.2
Arkansas,1991-04-01,217.4
Arizona,1991-04-01,171.3
California,1991-04-01,1914.9
Colorado,1991-04-01,164.7
Connecticut,1991-04-01,288.7
Delaware,1991-04-01,42.2
Florida,1991-04-01,480.7
Georgia,1991-04-01,494.9
Hawaii,1991-04-01,19.9
Iowa,1991-04-01,216.8
Idaho,1991-04-01,54.6
Illinois,1991-04-01,883.2
Indiana,1991-04-01,582.7
Kansas,1991-04-01,173.2
Kentucky,1991-04-01,265.7
Louisiana,1991-04-01,178.5
Massachusetts,1991-04-01,450.7
Maryland,1991-04-01,190.0
Maine,1991-04-01,88.2
Michigan,1991-04-01,774.2
Minnesota,1991-04-01,338.6
Missouri,1991-04-01,373.6
Mississippi,1991-04-01,226.4
Montana,1991-04-01,18.2
North Carolina,1991-04-01,789.5
North Dakota,1991-04-01,15.8
Nebraska,1991-04-01,96.8
New Hampshire,1991-04-01,92.3
New Jersey,1991-04-01,501.9
New Mexico,1991-04-01,38.3
Nevada,1991-04-01,24.5
New York,1991-04-01,920.4
Ohio,1991-04-01,1018.9
Oklahoma,1991-04-01,162.5
Oregon,1991-04-01,196.4
Pennsylvania,1991-04-01,916.6
Rhode Island,1991-04-01,87.5
South Carolina,1991-04-01,331.6
South Dakota,1991-04-01,33.6
District of Columbia,1991-04-01,6.2
Alabama,1991-04-01,352.5
Tennessee,1991-04-01,481.7
Texas,1991-04-01,936.9
Utah,1991-04-01,103.0
Virginia,1991-04-01,375.0
Vermont,1991-04-01,40.0
Washington,1991-04-01,328.5
Wisconsin,1991-04-01,512.6
West Virginia,1991-04-01,78.5
Wyoming,1991-04-01,9.3
Alaska,1991-05-01,16.4
Arkansas,1991-05-01,217.5
Arizona,1991-05-01,170.2
California,1991-05-01,1902.1
Colorado,1991-05-01,164.5
Connecticut,1991-05-01,285.6
Delaware,1991-05-01,47.6
Florida,1991-05-01,478.8
Georgia,1991-05-01,495.9
Hawaii,1991-05-01,19.9
Iowa,1991-05-01,216.8
Idaho,1991-05-01,55.2
Illinois,1991-05-01,879.4
Indiana,1991-05-01,584.5
Kansas,1991-05-01,173.8
Kentucky,1991-05-01,265.6
Louisiana,1991-05-01,178.8
Massachusetts,1991-05-01,447.8
Maryland,1991-05-01,189.8
Maine,1991-05-01,87.7
Michigan,1991-05-01,784.1
Minnesota,1991-05-01,338.9
Missouri,1991-05-01,373.0
Mississippi,1991-05-01,226.6
Montana,1991-05-01,19.1
North Carolina,1991-05-01,788.6
North Dakota,1991-05-01,15.9
Nebraska,1991-05-01,96.9
New Hampshire,1991-05-01,92.2
New Jersey,1991-05-01,499.7
New Mexico,1991-05-01,38.0
Nevada,1991-05-01,24.3
New York,1991-05-01,914.1
