,variable,value
Wisconsin,2016-01-01,3119928.0
West Virginia,2016-01-01,789107.0
Wyoming,2016-01-01,300618.0
Alaska,2016-02-01,360932.0
Alabama,2016-02-01,2187960.0
Arkansas,2016-02-01,1337797.0
Arizona,2016-02-01,3150141.0
California,2016-02-01,18970382.0
Colorado,2016-02-01,2861699.0
Connecticut,2016-02-01,1899395.0
District of Columbia,2016-02-01,385458.0
Delaware,2016-02-01,468495.0
Florida,2016-02-01,9714027.0
Georgia,2016-02-01,4761300.0
Hawaii,2016-02-01,690351.0
Iowa,2016-02-01,1714546.0
Idaho,2016-02-01,812327.0
Illinois,2016-02-01,6643168.0
Indiana,2016-02-01,3334079.0
Kansas,2016-02-01,1502778.0
Kentucky,2016-02-01,1997526.0
Louisiana,2016-02-01,2132466.0
Massachusetts,2016-02-01,3629994.0
Maryland,2016-02-01,3177021.0
Maine,2016-02-01,691473.0
Michigan,2016-02-01,4839932.0
Minnesota,2016-02-01,3032318.0
Missouri,2016-02-01,3065131.0
Mississippi,2016-02-01,1268163.0
Montana,2016-02-01,524830.0
North Carolina,2016-02-01,4757377.0
North Dakota,2016-02-01,414326.0
Nebraska,2016-02-01,1023801.0
New Hampshire,2016-02-01,753232.0
New Jersey,2016-02-01,4613440.0
New Mexico,2016-02-01,942292.0
Nevada,2016-02-01,1403929.0
New York,2016-02-01,9779589.0
Ohio,2016-02-01,5769621.0
Oklahoma,2016-02-01,1825449.0
Oregon,2016-02-01,2023889.0
Pennsylvania,2016-02-01,6536043.0
Rhode Island,2016-02-01,563637.0
South Carolina,2016-02-01,2258099.0
South Dakota,2016-02-01,452332.0
Tennessee,2016-02-01,3111174.0
Texas,2016-02-01,13176511.0
Utah,2016-02-01,1491654.0
Virginia,2016-02-01,4234176.0
Vermont,2016-02-01,351520.0
Washington,2016-02-01,3613000.0
Wisconsin,2016-02-01,3123491.0
West Virginia,2016-02-01,789137.0
Wyoming,2016-02-01,300772.0
Alaska,2016-03-01,361055.0
Alabama,2016-03-01,2190007.0
Arkansas,2016-03-01,1337808.0
Arizona,2016-03-01,3156053.0
California,2016-03-01,18990181.0
Colorado,2016-03-01,2867811.0
Connecticut,2016-03-01,1900911.0
District of Columbia,2016-03-01,385881.0
Delaware,2016-03-01,468579.0
Florida,2016-03-01,9728409.0
Georgia,2016-03-01,4798093.0
