,GeoFIPS,State,LineCode,Description,value,Year,Quarter
244,32000,Nevada,2,"Population (midperiod, persons) 1",2850124.0,2015,Q2
245,32000,Nevada,3,Per capita personal income (dollars) 2,43799.0,2015,Q2
246,33000,New Hampshire,1,"Personal income (millions of dollars, seasonally adjusted)",72529.4,2015,Q2
247,33000,New Hampshire,2,"Population (midperiod, persons) 1",1343159.0,2015,Q2
248,33000,New Hampshire,3,Per capita personal income (dollars) 2,53999.0,2015,Q2
249,34000,New Jersey,1,"Personal income (millions of dollars, seasonally adjusted)",529170.4,2015,Q2
250,34000,New Jersey,2,"Population (midperiod, persons) 1",9073869.0,2015,Q2
251,34000,New Jersey,3,Per capita personal income (dollars) 2,58318.0,2015,Q2
252,35000,New Mexico,1,"Personal income (millions of dollars, seasonally adjusted)",79167.2,2015,Q2
253,35000,New Mexico,2,"Population (midperiod, persons) 1",2095999.0,2015,Q2
254,35000,New Mexico,3,Per capita personal income (dollars) 2,37771.0,2015,Q2
255,36000,New York,1,"Personal income (millions of dollars, seasonally adjusted)",1135761.4,2015,Q2
256,36000,New York,2,"Population (midperiod, persons) 1",20076423.0,2015,Q2
257,36000,New York,3,Per capita personal income (dollars) 2,56572.0,2015,Q2
258,37000,North Carolina,1,"Personal income (millions of dollars, seasonally adjusted)",412778.9,2015,Q2
259,37000,North Carolina,2,"Population (midperiod, persons) 1",9951696.0,2015,Q2
260,37000,North Carolina,3,Per capita personal income (dollars) 2,41478.0,2015,Q2
261,38000,North Dakota,1,"Personal income (millions of dollars, seasonally adjusted)",40344.6,2015,Q2
262,38000,North Dakota,2,"Population (midperiod, persons) 1",760513.0,2015,Q2
263,38000,North Dakota,3,Per capita personal income (dollars) 2,53049.0,2015,Q2
264,39000,Ohio,1,"Personal income (millions of dollars, seasonally adjusted)",510047.8,2015,Q2
265,39000,Ohio,2,"Population (midperiod, persons) 1",11671162.0,2015,Q2
266,39000,Ohio,3,Per capita personal income (dollars) 2,43702.0,2015,Q2
267,40000,Oklahoma,1,"Personal income (millions of dollars, seasonally adjusted)",172472.9,2015,Q2
268,40000,Oklahoma,2,"Population (midperiod, persons) 1",3897190.0,2015,Q2
269,40000,Oklahoma,3,Per capita personal income (dollars) 2,44256.0,2015,Q2
270,41000,Oregon,1,"Personal income (millions of dollars, seasonally adjusted)",176129.3,2015,Q2
271,41000,Oregon,2,"Population (midperiod, persons) 1",4011737.0,2015,Q2
272,41000,Oregon,3,Per capita personal income (dollars) 2,43904.0,2015,Q2
273,42000,Pennsylvania,1,"Personal income (millions of dollars, seasonally adjusted)",633016.4,2015,Q2
274,42000,Pennsylvania,2,"Population (midperiod, persons) 1",12896622.0,2015,Q2
275,42000,Pennsylvania,3,Per capita personal income (dollars) 2,49084.0,2015,Q2
276,44000,Rhode Island,1,"Personal income (millions of dollars, seasonally adjusted)",51747.7,2015,Q2
277,44000,Rhode Island,2,"Population (midperiod, persons) 1",1076973.0,2015,Q2
278,44000,Rhode Island,3,Per capita personal income (dollars) 2,48049.0,2015,Q2
279,45000,South Carolina,1,"Personal income (millions of dollars, seasonally adjusted)",190803.3,2015,Q2
280,45000,South Carolina,2,"Population (midperiod, persons) 1",4842610.0,2015,Q2
281,45000,South Carolina,3,Per capita personal income (dollars) 2,39401.0,2015,Q2
282,46000,South Dakota,1,"Personal income (millions of dollars, seasonally adjusted)",40868.5,2015,Q2
283,46000,South Dakota,2,"Population (midperiod, persons) 1",851463.0,2015,Q2
284,46000,South Dakota,3,Per capita personal income (dollars) 2,47998.0,2015,Q2
285,47000,Tennessee,1,"Personal income (millions of dollars, seasonally adjusted)",276456.1,2015,Q2
286,47000,Tennessee,2,"Population (midperiod, persons) 1",6606783.0,2015,Q2
287,47000,Tennessee,3,Per capita personal income (dollars) 2,41844.0,2015,Q2
288,48000,Texas,1,"Personal income (millions of dollars, seasonally adjusted)",1279785.2,2015,Q2
289,48000,Texas,2,"Population (midperiod, persons) 1",27333261.0,2015,Q2
290,48000,Texas,3,Per capita personal income (dollars) 2,46822.0,2015,Q2
291,49000,Utah,1,"Personal income (millions of dollars, seasonally adjusted)",119039.6,2015,Q2
292,49000,Utah,2,"Population (midperiod, persons) 1",2994269.0,2015,Q2
293,49000,Utah,3,Per capita personal income (dollars) 2,39756.0,2015,Q2
294,50000,Vermont,1,"Personal income (millions of dollars, seasonally adjusted)",30533.9,2015,Q2
295,50000,Vermont,2,"Population (midperiod, persons) 1",635629.0,2015,Q2
296,50000,Vermont,3,Per capita personal income (dollars) 2,48037.0,2015,Q2
297,51000,Virginia,1,"Personal income (millions of dollars, seasonally adjusted)",432302.1,2015,Q2
298,51000,Virginia,2,"Population (midperiod, persons) 1",8383387.0,2015,Q2
299,51000,Virginia,3,Per capita personal income (dollars) 2,51567.0,2015,Q2
300,53000,Washington,1,"Personal income (millions of dollars, seasonally adjusted)",374878.2,2015,Q2
301,53000,Washington,2,"Population (midperiod, persons) 1",7167245.0,2015,Q2
302,53000,Washington,3,Per capita personal income (dollars) 2,52304.0,2015,Q2
303,54000,West Virginia,1,"Personal income (millions of dollars, seasonally adjusted)",68732.2,2015,Q2
304,54000,West Virginia,2,"Population (midperiod, persons) 1",1847039.0,2015,Q2
305,54000,West Virginia,3,Per capita personal income (dollars) 2,37212.0,2015,Q2
306,55000,Wisconsin,1,"Personal income (millions of dollars, seasonally adjusted)",265468.3,2015,Q2
307,55000,Wisconsin,2,"Population (midperiod, persons) 1",5792344.0,2015,Q2
308,55000,Wisconsin,3,Per capita personal income (dollars) 2,45831.0,2015,Q2
309,56000,Wyoming,1,"Personal income (millions of dollars, seasonally adjusted)",32827.5,2015,Q2
