"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","6.53","","","","2"
"2021","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","6.02","","","","2"
"2022","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","6.86","","","","2"
"2023","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","9.00","","","","2"
"2024","Canada","2016A000011124","Equals: debt service ratio, interest only","Ratio","272","units","0","v62790688","1.14","9.15","","","","2"
"2015","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","25282","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","25360","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","25569","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","25820","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","26142","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","26914","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","28443","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","29148","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","31302","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Household income","Dollars","81","millions","6","v62790689","2.1","33378","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","15561","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","15117","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","14940","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","15005","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","15172","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","14342","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","15763","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","16575","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","17806","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Compensation of employees","Dollars","81","millions","6","v62790690","2.2","18803","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2389","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2465","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2425","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2417","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2437","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2425","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2633","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2705","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","2840","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Net mixed income","Dollars","81","millions","6","v62790691","2.3","3204","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1670","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1612","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1670","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1621","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1673","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1629","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1713","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","1804","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","2140","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Property income received","Dollars","81","millions","6","v62790692","2.4","2453","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","5663","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","6166","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","6534","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","6777","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","6860","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","8518","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","8334","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","8064","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","8516","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Current transfers received","Dollars","81","millions","6","v62790693","2.5","8917","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","24649","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","25312","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","25824","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","25983","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","26370","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","25185","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","27122","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","29244","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","31514","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Household outlays","Dollars","81","millions","6","v62790694","2.6","33088","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Property income paid","Dollars","81","millions","6","v62790695","2.7","628","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Property income paid","Dollars","81","millions","6","v62790695","2.7","628","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Property income paid","Dollars","81","millions","6","v62790695","2.7","655","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Property income paid","Dollars","81","millions","6","v62790695","2.7","733","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Property income paid","Dollars","81","millions","6","v62790695","2.7","813","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Property income paid","Dollars","81","millions","6","v62790695","2.7","703","","","","0"
